Village_ID,Village_Name,Latitude,Longitude,Stock,Sales,Days,Profit_Margin,Shelf_Life,Festival_Flag,Credit_Score,Late_delivery_risk,Product_Name
JGN-053,Narmetta Colony,17.952013,79.375326,70,24,3,33.9,180,0,650,0.4,Sugar (50kg)
JGN-054,Kodakandla Colony,18.03255,79.239842,60,28,4,17.2,180,0,619,0.5,Cooking Oil (15L)
JGN-055,Thorrur Colony,18.066107,79.37615,79,30,3,6.0,365,0,823,0.4,Pulses Mix (25kg)
JGN-056,Zaffergadh Colony,18.101342,79.33744,56,28,4,6.0,90,0,771,0.5,Rice (50kg)
JGN-057,Chilpur Colony,17.886577,79.243137,56,28,3,7.7,90,0,721,0.4,Wheat Flour (40kg)
JGN-058,Atmakur Colony,18.039262,79.23943,85,23,3,7.4,365,0,703,0.4,Sugar (50kg)
JGN-059,Regonda Colony,17.78255,79.370384,68,28,4,14.4,90,0,623,0.5,Cooking Oil (15L)
JGN-060,Dharmasagar Colony,17.901678,79.218428,65,27,4,6.0,365,0,675,0.6,Pulses Mix (25kg)
JGN-061,Duggondi Colony,17.997315,79.328792,67,28,4,9.5,30,0,573,0.6,Rice (50kg)
JGN-062,Bachannapeta Colony,17.930201,79.381915,78,31,3,21.5,365,0,773,0.7,Wheat Flour (40kg)
JGN-063,Rayaparthi Colony,17.978859,79.197838,69,29,4,12.3,30,0,715,0.5,Sugar (50kg)
JGN-064,Bhupalpally Colony,17.898322,79.302437,46,30,3,8.1,365,0,613,0.6,Cooking Oil (15L)
JGN-065,Mogullapally Colony,17.980537,79.196191,59,28,3,12.4,180,0,583,0.6,Pulses Mix (25kg)
JGN-066,Inavolu Colony,17.920134,79.213075,56,27,3,13.6,365,0,664,0.5,Rice (50kg)
JGN-067,Shivarampally Colony,17.819463,79.361325,66,29,3,15.6,30,0,617,0.5,Wheat Flour (40kg)
JGN-068,Karimnagar Colony,17.816107,79.362148,66,24,3,6.2,180,0,584,0.6,Sugar (50kg)
JGN-069,Siddipet Colony,17.98557,79.198662,68,28,3,14.0,365,0,609,0.3,Cooking Oil (15L)
JGN-070,Husnabad Colony,18.133221,79.285964,67,22,3,6.0,180,0,651,0.3,Pulses Mix (25kg)
JGN-071,Kolanupaka Colony,17.955369,79.227076,60,25,3,6.0,180,0,830,0.2,Rice (50kg)
JGN-072,Mothkur Colony,17.911745,79.23943,59,26,3,17.2,180,0,622,0.5,Wheat Flour (40kg)
JGN-073,Mulugu Colony,17.785906,79.370384,66,27,4,10.4,90,0,743,0.4,Sugar (50kg)
JGN-074,Narsampet Colony,17.913423,79.353089,48,37,4,6.0,180,0,723,0.6,Cooking Oil (15L)
JGN-075,Parkal Colony,18.015772,79.354736,95,24,5,6.0,180,0,843,0.7,Pulses Mix (25kg)
JGN-076,Sangem Colony,17.968792,79.199897,74,26,3,12.3,365,0,760,0.4,Rice (50kg)
JGN-077,Wardhanapet Colony,18.052685,79.337028,53,29,3,12.7,30,0,796,0.6,Wheat Flour (40kg)
JGN-078,Chennaraopet Colony,18.005705,79.385209,26,23,4,6.0,90,0,654,0.6,Sugar (50kg)
JGN-079,Damera Colony,17.78255,79.299554,71,30,3,14.9,365,0,614,0.5,Cooking Oil (15L)
JGN-080,Elkathurthi Colony,17.894966,79.35103,46,30,4,7.1,365,0,704,0.8,Pulses Mix (25kg)
JGN-081,Geesugonda Colony,18.020805,79.395504,80,26,2,25.4,90,0,728,0.2,Rice (50kg)
JGN-082,Hasanparthy Colony,18.024161,79.391386,63,27,4,6.5,180,0,640,0.4,Wheat Flour (40kg)
JGN-083,Janagama Colony,17.896644,79.299142,44,29,3,7.4,90,0,578,0.6,Sugar (50kg)
JGN-084,Kazipet Colony,17.940268,79.211016,65,23,4,6.0,30,0,807,0.3,Cooking Oil (15L)
JGN-085,Lingalaghanpur Colony,17.925168,79.217605,53,26,3,19.7,90,0,698,0.6,Pulses Mix (25kg)
JGN-086,Maripeda Colony,17.918456,79.355559,43,33,4,6.3,90,0,775,0.6,Rice (50kg)
JGN-087,Nallabelli Colony,18.069463,79.338675,38,31,3,29.3,180,0,702,0.3,Wheat Flour (40kg)
JGN-088,Pethsamudram Colony,18.04094,79.398799,65,26,5,26.0,30,0,778,0.6,Sugar (50kg)
JGN-089,Raiparthy Colony,18.07953,79.352265,73,28,3,14.7,365,0,800,0.5,Cooking Oil (15L)
JGN-090,Shayampet Colony,18.007383,79.353089,57,32,4,12.4,365,0,855,0.6,Pulses Mix (25kg)
JGN-091,Torur Colony,18.010738,79.20731,62,29,3,8.5,180,0,602,0.5,Rice (50kg)
JGN-092,Venkatapur Colony,17.916779,79.353912,70,25,4,11.3,180,0,842,0.6,Wheat Flour (40kg)
JGN-093,Yadagirigutta Colony,18.012416,79.37615,62,28,4,12.7,90,0,724,0.8,Sugar (50kg)
JGN-094,Aleru Colony,18.037584,79.363384,55,30,2,19.2,365,0,680,0.8,Cooking Oil (15L)
JGN-095,Bheemadevarapally Colony,18.059396,79.339087,72,28,4,23.2,180,0,597,0.7,Pulses Mix (25kg)
JGN-096,Chigurumamidi Colony,17.849664,79.307378,58,28,4,24.6,30,0,774,0.5,Rice (50kg)
JGN-097,Devaruppula Colony,17.906711,79.240254,68,28,4,19.1,365,0,641,0.4,Wheat Flour (40kg)
JGN-098,Enkoor Colony,17.925168,79.212663,78,29,3,13.0,365,0,581,0.5,Sugar (50kg)
JGN-099,Fatehnagar Colony,17.896644,79.219252,10,25,4,25.4,365,0,752,0.9,Cooking Oil (15L)
JGN-100,Gundlapochampally Colony,17.911745,79.215546,63,39,4,8.4,180,0,617,0.9,Pulses Mix (25kg)
JGN-101,Ghanpur Puram,17.936913,79.330027,56,27,4,25.2,180,0,790,0.7,Rice (50kg)
JGN-102,Palakurthi Puram,18.035906,79.368737,37,28,4,35.5,90,0,781,0.4,Wheat Flour (40kg)
JGN-103,Narmetta Puram,18.030872,79.36256,70,23,6,12.3,365,0,756,0.6,Sugar (50kg)
JGN-104,Kodakandla Puram,17.997315,79.201132,85,28,4,20.5,365,0,668,0.6,Cooking Oil (15L)
JGN-105,Thorrur Puram,18.014094,79.268257,64,30,3,14.5,30,0,823,0.4,Pulses Mix (25kg)
JGN-106,Zaffergadh Puram,18.019128,79.324262,54,30,5,23.4,30,0,604,0.6,Rice (50kg)
JGN-107,Chilpur Puram,17.945302,79.381915,45,26,4,18.1,90,0,670,0.6,Wheat Flour (40kg)
JGN-108,Atmakur Puram,17.779195,79.369973,53,31,3,6.0,365,0,700,0.5,Sugar (50kg)
JGN-109,Regonda Puram,18.076174,79.354324,75,27,4,6.0,365,0,720,0.4,Cooking Oil (15L)
JGN-110,Dharmasagar Puram,17.9,79.218428,75,29,3,15.8,30,0,724,0.6,Pulses Mix (25kg)
JGN-111,Duggondi Puram,17.656711,79.429684,83,28,3,8.1,180,0,861,0.7,Rice (50kg)
JGN-112,Bachannapeta Puram,17.658389,79.426802,112,17,4,10.6,90,0,672,1.0,Wheat Flour (40kg)
JGN-113,Rayaparthi Puram,17.920134,79.216369,64,30,4,9.7,365,0,596,0.7,Sugar (50kg)
JGN-114,Bhupalpally Puram,18.012416,79.260021,83,25,4,22.0,365,0,706,0.7,Cooking Oil (15L)
JGN-115,Mogullapally Puram,17.938591,79.261668,61,25,2,6.0,365,0,734,0.5,Pulses Mix (25kg)
JGN-116,Inavolu Puram,18.109732,79.194955,66,28,4,13.1,90,0,659,0.5,Rice (50kg)
JGN-117,Shivarampally Puram,17.827852,79.365443,65,29,4,19.2,90,0,681,0.6,Wheat Flour (40kg)
JGN-118,Karimnagar Puram,17.913423,79.214722,64,26,4,7.3,90,0,843,0.6,Sugar (50kg)
JGN-119,Siddipet Puram,17.913423,79.351853,68,29,4,10.3,30,0,782,0.4,Cooking Oil (15L)
JGN-120,Husnabad Puram,18.052685,79.409506,67,27,3,6.0,365,0,665,0.6,Pulses Mix (25kg)
JGN-121,Kolanupaka Puram,18.059396,79.40827,49,26,4,6.2,365,0,621,0.7,Rice (50kg)
JGN-122,Mothkur Puram,17.809396,79.290906,61,27,4,14.2,365,0,665,0.5,Wheat Flour (40kg)
JGN-123,Mulugu Puram,17.918456,79.215134,69,29,3,8.5,365,0,701,0.6,Sugar (50kg)
JGN-124,Narsampet Puram,18.072819,79.345676,85,28,3,8.9,180,0,870,0.6,Cooking Oil (15L)
JGN-125,Parkal Puram,18.059396,79.35803,66,27,4,14.2,180,0,862,0.6,Pulses Mix (25kg)
JGN-126,Sangem Puram,17.859732,79.3535,60,27,4,6.0,365,0,598,0.6,Rice (50kg)
JGN-127,Wardhanapet Puram,17.967114,79.387268,61,29,3,10.2,365,0,605,0.6,Wheat Flour (40kg)
JGN-128,Chennaraopet Puram,18.014094,79.268668,57,29,4,7.6,90,0,582,0.5,Sugar (50kg)
JGN-129,Damera Puram,17.921812,79.212251,59,28,3,8.9,90,0,729,0.6,Cooking Oil (15L)
JGN-130,Elkathurthi Puram,18.027517,79.365854,24,28,3,13.6,30,0,640,0.3,Pulses Mix (25kg)
JGN-131,Geesugonda Puram,17.913423,79.238607,71,27,3,8.1,365,0,655,0.4,Rice (50kg)
JGN-132,Hasanparthy Puram,18.015772,79.26908,55,36,3,6.0,180,0,747,0.5,Wheat Flour (40kg)
JGN-133,Janagama Puram,18.042617,79.362148,62,23,4,18.6,90,0,635,0.8,Sugar (50kg)
JGN-134,Kazipet Puram,17.846309,79.307378,65,29,3,10.8,180,0,614,0.5,Cooking Oil (15L)
JGN-135,Lingalaghanpur Puram,17.911745,79.238195,77,29,5,18.9,180,0,781,0.7,Pulses Mix (25kg)
JGN-136,Maripeda Puram,17.952013,79.374914,19,27,3,8.2,90,0,703,0.5,Rice (50kg)
JGN-137,Nallabelli Puram,18.141611,79.196603,52,29,3,8.9,30,0,597,0.6,Wheat Flour (40kg)
JGN-138,Pethsamudram Puram,18.029195,79.239842,68,27,3,16.4,180,0,747,0.4,Sugar (50kg)
JGN-139,Raiparthy Puram,17.844631,79.306966,73,31,4,6.0,180,0,677,0.5,Cooking Oil (15L)
JGN-140,Shayampet Puram,18.035906,79.395093,61,27,3,6.0,180,0,613,0.6,Pulses Mix (25kg)
JGN-141,Torur Puram,18.042617,79.359677,31,23,4,6.0,180,0,653,0.7,Rice (50kg)
JGN-142,Venkatapur Puram,18.052685,79.339087,67,29,3,13.9,365,0,599,0.6,Wheat Flour (40kg)
JGN-143,Yadagirigutta Puram,18.067785,79.347735,60,30,4,15.6,180,0,794,0.4,Sugar (50kg)
JGN-144,Aleru Puram,18.044295,79.327968,58,28,3,14.5,180,0,697,0.5,Cooking Oil (15L)
JGN-145,Bheemadevarapally Puram,17.896644,79.299554,59,26,4,6.0,365,0,661,0.5,Pulses Mix (25kg)
JGN-146,Chigurumamidi Puram,18.12651,79.204427,52,22,4,23.0,90,0,698,0.6,Rice (50kg)
JGN-147,Devaruppula Puram,18.037584,79.363795,66,21,4,6.0,30,0,690,0.9,Wheat Flour (40kg)
JGN-148,Enkoor Puram,18.06443,79.65,50,26,3,6.0,30,0,666,0.5,Sugar (50kg)
JGN-149,Fatehnagar Puram,18.061074,79.408682,70,29,4,26.2,180,0,690,0.6,Cooking Oil (15L)
JGN-150,Gundlapochampally Puram,18.022483,79.39221,46,34,3,21.3,180,0,685,0.4,Pulses Mix (25kg)
JGN-151,Ghanpur Nagar,17.982215,79.201132,66,30,5,14.4,180,0,572,0.8,Rice (50kg)
JGN-152,Palakurthi Nagar,17.915101,79.213487,73,32,3,20.7,90,0,822,0.5,Wheat Flour (40kg)
JGN-153,Narmetta Nagar,18.004027,79.385209,41,24,3,6.0,30,0,724,0.6,Sugar (50kg)
JGN-154,Kodakandla Nagar,17.950336,79.29873,93,24,4,13.8,30,0,706,0.4,Cooking Oil (15L)
JGN-155,Thorrur Nagar,17.898322,79.220487,84,30,2,23.6,90,0,631,0.6,Pulses Mix (25kg)
JGN-156,Zaffergadh Nagar,18.034228,79.365443,56,28,3,8.3,180,0,690,0.3,Rice (50kg)
JGN-157,Chilpur Nagar,17.898322,79.224194,92,25,4,6.0,90,0,721,0.6,Wheat Flour (40kg)
JGN-158,Atmakur Nagar,17.784228,79.370384,59,27,4,12.4,90,0,628,0.5,Sugar (50kg)
JGN-159,Regonda Nagar,17.910067,79.238607,68,28,3,12.6,365,0,687,0.5,Cooking Oil (15L)
JGN-160,Dharmasagar Nagar,17.98557,79.197838,76,27,3,6.0,90,0,879,0.6,Pulses Mix (25kg)
JGN-161,Duggondi Nagar,17.785906,79.298318,70,30,4,6.0,180,0,815,0.6,Rice (50kg)
JGN-162,Bachannapeta Nagar,17.846309,79.297907,57,23,2,6.0,180,0,832,0.3,Wheat Flour (40kg)
JGN-163,Rayaparthi Nagar,17.901678,79.371208,61,29,3,17.5,90,0,631,0.4,Sugar (50kg)
JGN-164,Bhupalpally Nagar,18.057718,79.407447,64,27,3,13.5,180,0,771,0.5,Cooking Oil (15L)
JGN-165,Mogullapally Nagar,17.953691,79.210604,69,27,4,15.8,365,0,581,0.5,Pulses Mix (25kg)
JGN-166,Inavolu Nagar,17.960403,79.340734,48,28,4,15.2,365,0,608,0.6,Rice (50kg)
JGN-167,Shivarampally Nagar,17.933557,79.204839,63,28,3,18.4,30,0,849,0.4,Wheat Flour (40kg)
JGN-168,Karimnagar Nagar,18.06443,79.338675,54,24,2,6.0,365,0,850,0.0,Sugar (50kg)
JGN-169,Siddipet Nagar,18.044295,79.400034,37,27,4,18.5,90,0,682,0.5,Cooking Oil (15L)
JGN-170,Husnabad Nagar,18.111409,79.195779,76,25,4,8.7,90,0,820,0.6,Pulses Mix (25kg)
JGN-171,Kolanupaka Nagar,17.918456,79.21431,70,27,3,15.5,90,0,682,0.5,Rice (50kg)
JGN-172,Mothkur Nagar,17.990604,79.197838,60,25,4,23.9,365,0,650,0.5,Wheat Flour (40kg)
JGN-173,Mulugu Nagar,18.000671,79.384386,75,18,2,6.0,90,0,832,0.1,Sugar (50kg)
JGN-174,Narsampet Nagar,17.911745,79.353089,77,25,4,12.1,90,0,571,0.5,Cooking Oil (15L)
JGN-175,Parkal Nagar,17.945302,79.20278,66,20,4,27.3,180,0,849,0.5,Pulses Mix (25kg)
JGN-176,Sangem Nagar,18.051007,79.409094,58,25,3,24.0,90,0,773,0.6,Rice (50kg)
JGN-177,Wardhanapet Nagar,18.057718,79.39221,48,28,3,21.3,30,0,656,0.6,Wheat Flour (40kg)
JGN-178,Chennaraopet Nagar,17.952013,79.226664,81,32,4,21.4,30,0,698,0.8,Sugar (50kg)
JGN-179,Damera Nagar,17.997315,79.381915,75,30,2,6.0,30,0,716,0.1,Cooking Oil (15L)
JGN-180,Elkathurthi Nagar,18.042617,79.388092,28,27,5,16.2,30,0,695,0.5,Pulses Mix (25kg)
JGN-181,Geesugonda Nagar,18.002349,79.382739,83,34,2,16.7,30,0,849,0.3,Rice (50kg)
JGN-182,Hasanparthy Nagar,18.020805,79.386033,62,29,3,18.4,180,0,622,0.4,Wheat Flour (40kg)
JGN-183,Janagama Nagar,17.988926,79.35103,60,27,3,12.1,30,0,729,0.6,Sugar (50kg)
JGN-184,Kazipet Nagar,18.019128,79.389739,50,28,3,12.6,90,0,729,0.6,Cooking Oil (15L)
JGN-185,Lingalaghanpur Nagar,18.015772,79.204427,16,25,2,12.3,365,0,637,0.6,Pulses Mix (25kg)
JGN-186,Maripeda Nagar,17.883221,79.261668,45,27,5,23.7,90,0,692,0.2,Rice (50kg)
JGN-187,Nallabelli Nagar,17.911745,79.239842,53,32,3,6.0,180,0,714,0.4,Wheat Flour (40kg)
JGN-188,Pethsamudram Nagar,18.05604,79.35803,78,27,4,14.9,30,0,757,0.6,Sugar (50kg)
JGN-189,Raiparthy Nagar,18.014094,79.360913,79,23,4,6.0,30,0,743,0.4,Cooking Oil (15L)
JGN-190,Shayampet Nagar,17.980537,79.3535,53,22,5,6.0,30,0,638,0.7,Pulses Mix (25kg)
JGN-191,Torur Nagar,17.972148,79.369561,59,29,4,20.5,30,0,685,0.4,Rice (50kg)
JGN-192,Venkatapur Nagar,18.027517,79.394269,60,29,3,10.1,90,0,667,0.5,Wheat Flour (40kg)
JGN-193,Yadagirigutta Nagar,18.030872,79.398799,30,30,4,8.2,30,0,858,0.7,Sugar (50kg)
JGN-194,Aleru Nagar,17.980537,79.19825,58,26,3,12.5,30,0,713,0.4,Cooking Oil (15L)
JGN-195,Bheemadevarapally Nagar,17.938591,79.330027,48,26,4,6.0,30,0,666,0.5,Pulses Mix (25kg)
JGN-196,Chigurumamidi Nagar,17.936913,79.260844,62,31,4,23.8,90,0,693,0.4,Rice (50kg)
JGN-197,Devaruppula Nagar,17.967114,79.200721,80,26,4,7.2,90,0,709,0.7,Wheat Flour (40kg)
JGN-198,Enkoor Nagar,18.027517,79.395093,51,27,4,9.4,90,0,812,0.5,Sugar (50kg)
JGN-199,Fatehnagar Nagar,17.908389,79.239842,65,27,4,6.5,180,0,572,0.6,Cooking Oil (15L)
JGN-200,Gundlapochampally Nagar,17.901678,79.217605,61,28,4,17.0,180,0,717,0.6,Pulses Mix (25kg)
JGN-201,Ghanpur Pally,18.045973,79.334557,77,28,3,18.4,30,0,716,0.5,Rice (50kg)
JGN-202,Palakurthi Pally,18.047651,79.340323,73,24,3,14.7,180,0,659,0.4,Wheat Flour (40kg)
JGN-203,Narmetta Pally,17.653356,79.427213,59,28,4,12.2,180,0,716,0.5,Sugar (50kg)
JGN-204,Kodakandla Pally,17.856376,79.365031,42,32,3,23.0,30,0,717,0.8,Cooking Oil (15L)
JGN-205,Thorrur Pally,17.911745,79.354324,50,24,4,22.6,365,0,815,0.5,Pulses Mix (25kg)
JGN-206,Zaffergadh Pally,18.082886,79.353089,28,28,3,13.0,365,0,771,0.7,Rice (50kg)
JGN-207,Chilpur Pally,18.087919,79.202368,62,29,3,10.6,30,0,697,0.5,Wheat Flour (40kg)
JGN-208,Atmakur Pally,17.916779,79.215546,65,28,3,24.1,90,0,758,0.4,Sugar (50kg)
JGN-209,Regonda Pally,18.039262,79.383562,53,26,3,23.8,365,0,721,0.8,Cooking Oil (15L)
JGN-210,Dharmasagar Pally,17.957047,79.208133,54,27,3,6.0,180,0,823,0.6,Pulses Mix (25kg)
JGN-211,Duggondi Pally,18.007383,79.384386,68,36,4,7.8,30,0,698,0.8,Rice (50kg)
JGN-212,Bachannapeta Pally,17.913423,79.213487,69,27,3,17.2,90,0,730,0.5,Wheat Flour (40kg)
JGN-213,Rayaparthi Pally,18.015772,79.358442,65,30,4,6.0,90,0,870,1.0,Sugar (50kg)
JGN-214,Bhupalpally Pally,17.978859,79.19825,65,27,3,16.4,90,0,728,0.6,Cooking Oil (15L)
JGN-215,Mogullapally Pally,17.916779,79.215134,50,27,4,16.7,180,0,611,0.5,Pulses Mix (25kg)
JGN-216,Inavolu Pally,17.925168,79.206898,61,27,4,12.1,90,0,668,0.7,Rice (50kg)
JGN-217,Shivarampally Pally,18.030872,79.354324,54,22,5,6.0,90,0,576,0.5,Wheat Flour (40kg)
JGN-218,Karimnagar Pally,17.903356,79.220487,84,26,4,17.9,180,0,863,0.6,Sugar (50kg)
JGN-219,Siddipet Pally,18.004027,79.38315,67,29,4,9.9,30,0,809,0.4,Cooking Oil (15L)
JGN-220,Husnabad Pally,18.061074,79.347735,50,32,3,6.0,90,0,831,0.7,Pulses Mix (25kg)
JGN-221,Kolanupaka Pally,17.851342,79.329204,53,27,4,13.8,180,0,629,0.4,Rice (50kg)
JGN-222,Mothkur Pally,18.057718,79.358442,65,31,3,13.5,365,0,832,0.5,Wheat Flour (40kg)
JGN-223,Mulugu Pally,18.012416,79.376561,61,23,3,32.9,180,0,571,0.4,Sugar (50kg)
JGN-224,Narsampet Pally,17.997315,79.201956,87,29,3,6.0,180,0,698,0.5,Cooking Oil (15L)
JGN-225,Parkal Pally,18.052685,79.338675,63,36,2,6.0,30,0,617,0.3,Pulses Mix (25kg)
JGN-226,Sangem Pally,17.928523,79.21431,61,29,3,14.6,90,0,859,0.6,Rice (50kg)
JGN-227,Wardhanapet Pally,18.069463,79.376561,50,30,3,11.9,180,0,606,0.6,Wheat Flour (40kg)
JGN-228,Chennaraopet Pally,18.059396,79.357207,42,24,4,21.3,90,0,729,0.6,Sugar (50kg)
JGN-229,Damera Pally,18.030872,79.23943,58,29,4,10.2,90,0,728,0.6,Cooking Oil (15L)
JGN-230,Elkathurthi Pally,17.861409,79.320968,72,38,3,15.2,90,0,668,0.4,Pulses Mix (25kg)
JGN-231,Geesugonda Pally,17.854698,79.297495,80,27,4,6.0,30,0,866,0.6,Rice (50kg)
JGN-232,Hasanparthy Pally,17.903356,79.302025,70,27,3,19.4,90,0,617,0.7,Wheat Flour (40kg)
JGN-233,Janagama Pally,17.916779,79.213487,60,31,3,10.8,90,0,850,0.6,Sugar (50kg)
JGN-234,Kazipet Pally,18.03255,79.357618,92,20,4,22.1,90,0,867,0.4,Cooking Oil (15L)
JGN-235,Lingalaghanpur Pally,17.99396,79.200309,63,29,3,12.1,30,0,871,0.5,Pulses Mix (25kg)
JGN-236,Maripeda Pally,18.054362,79.38768,45,27,4,15.4,365,0,623,0.5,Rice (50kg)
JGN-237,Nallabelli Pally,18.061074,79.333734,56,29,4,6.0,180,0,759,0.7,Wheat Flour (40kg)
JGN-238,Pethsamudram Pally,17.918456,79.216369,63,28,3,19.8,180,0,871,0.5,Sugar (50kg)
JGN-239,Raiparthy Pally,17.787584,79.370384,62,28,4,15.7,180,0,685,0.6,Cooking Oil (15L)
JGN-240,Shayampet Pally,18.027517,79.331675,86,33,3,13.9,90,0,714,0.3,Pulses Mix (25kg)
JGN-241,Torur Pally,18.133221,79.285553,55,28,4,20.0,30,0,682,0.6,Rice (50kg)
JGN-242,Venkatapur Pally,17.905034,79.300789,57,25,4,15.3,180,0,673,0.8,Wheat Flour (40kg)
JGN-243,Yadagirigutta Pally,17.973826,79.197838,75,30,3,20.4,180,0,723,0.6,Sugar (50kg)
